load time,38786
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
298,0,19,20,0,117,138
299,0,20,21,0,9038,9060
300,0,20,20,0,119,141
301,0,21,21,0,118,141
302,0,20,21,0,8404,8426
303,0,20,20,0,120,142
304,0,21,21,0,120,143
305,0,21,21,0,8795,8817
306,0,20,20,0,121,143
307,0,20,21,0,122,145
308,0,20,21,0,8735,8757
309,0,20,20,0,122,144
310,0,21,22,0,126,149
311,0,20,21,0,8361,8382
312,0,20,20,0,124,146
313,0,20,21,0,8454,8477
314,0,20,20,0,126,147
315,0,20,20,0,127,148
316,0,20,20,0,8915,8937
317,0,20,21,0,127,148
318,0,20,20,0,127,149
319,0,20,20,0,8711,8733
320,0,20,20,0,129,150
321,0,20,21,0,130,152
322,0,20,21,0,8423,8445
323,0,20,20,0,130,152
324,0,20,21,0,8540,8563
325,0,20,21,0,131,153
326,0,20,20,0,131,153
327,0,20,21,0,9045,9067
328,0,21,22,0,139,162
329,0,20,20,0,8504,8525
330,0,20,20,0,139,161
331,0,20,20,0,161,182
332,0,20,21,0,8440,8463
333,0,20,21,0,135,157
334,0,20,21,0,143,165
335,0,20,21,0,8783,8806
336,0,20,21,0,137,159
337,0,20,21,0,8562,8584
338,0,19,20,0,138,159
339,0,20,21,0,140,162
340,0,20,21,0,8889,8911
341,0,20,20,0,140,162
342,0,20,21,0,8800,8822
343,0,20,21,0,140,162
344,0,20,21,0,8632,8654
345,0,20,20,0,145,166
346,0,20,21,0,143,165
347,0,20,20,0,8393,8415
348,0,20,21,0,142,165
349,0,21,21,0,8686,8709
350,0,20,21,0,146,168
351,0,21,21,0,9097,9120
352,0,19,20,0,147,169
353,0,20,21,0,149,171
354,0,20,21,0,8404,8426
355,0,20,20,0,149,170
356,0,20,21,0,8917,8939
357,0,20,20,0,149,171
358,0,20,20,0,8828,8850
359,0,20,20,0,151,173
360,0,20,21,0,8474,8496
361,0,20,20,0,156,178
362,0,20,21,0,154,176
363,0,20,20,0,8490,8512
364,0,20,21,0,172,195
365,0,20,20,0,8862,8883
366,0,20,21,0,163,185
Total Time,638886
