load time,38618
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
311,0,23,23,0,8821,8846
312,0,23,23,0,123,148
313,0,23,23,1,126,151
314,0,23,24,0,8376,8401
315,0,23,23,0,125,150
316,0,23,24,0,127,152
317,0,23,23,0,8706,8731
318,0,23,23,0,127,151
319,0,23,24,0,9015,9040
320,0,22,23,0,128,152
321,0,23,23,0,129,154
322,0,23,24,0,8428,8454
323,0,23,24,0,130,155
324,0,23,23,0,131,155
325,0,23,23,0,8390,8415
326,0,23,23,0,132,157
327,0,24,24,0,134,159
328,0,24,24,0,8604,8630
329,0,23,24,0,133,158
330,0,23,24,0,8905,8930
331,0,23,23,0,142,166
332,0,22,23,0,134,159
333,0,23,23,0,8364,8389
334,0,23,23,1,163,188
335,0,23,24,1,8548,8574
336,0,22,22,0,137,161
337,0,23,23,0,139,164
338,0,23,24,1,8923,8948
339,0,23,23,0,138,163
340,0,23,23,0,139,164
341,0,23,23,0,8381,8406
342,0,22,23,0,139,163
343,0,23,23,0,8354,8379
344,0,23,23,0,141,166
345,0,23,23,0,142,167
346,0,23,23,0,8607,8632
347,0,23,23,0,143,168
348,0,23,24,0,8653,8678
349,0,23,23,0,146,171
350,0,23,23,0,8886,8911
351,0,23,23,0,146,170
352,0,23,24,0,148,173
353,0,23,23,0,8911,8935
354,0,23,23,0,148,173
355,0,23,24,0,8570,8595
356,0,23,24,0,153,178
357,0,23,24,0,8619,8645
358,0,23,23,0,151,175
359,0,23,24,0,152,177
360,0,23,24,0,8590,8615
361,0,23,24,0,152,177
362,0,23,23,0,8969,8994
363,0,24,24,0,154,180
364,0,23,23,0,8396,8421
365,0,23,23,0,156,181
366,0,22,23,0,8915,8939
Total Time,626425
